category,title,quantity,brand,product_id,listing_id,highlights,availability,selling_price,original_price,currency,avg_rating,rating_count,review_count,1_stars_count,2_stars_count,3_stars_count,4_stars_count,5_stars_count
Vitamin Supplement,"Revital Women Multivitamin with Calcium, Zinc, Ginseng for Immunity, Strong Bones & Energy",30 Tablets,Revital,VSLFUCNZ74TDDANJ,LSTVSLFUCNZ74TDDANJAGY8AW,Multi Vitamin Supplements Tablet Form Suitable For: Vegetarian Pack of 1,IN_STOCK,243,345,INR,4.4,8190,611,211,198,775,2096,4910
Vitamin Supplement,MUSCLEBLAZE VITE Multivitamin,90 No,MUSCLEBLAZE,VSLFGMHYFZXTEFSW,LSTVSLFGMHYFZXTEFSWCOQLV7,Multi Vitamin Supplements Tablet Form Suitable For: Vegetarian Pack of 1,IN_STOCK,455,899,INR,4.2,41010,3527,2271,1305,3980,10320,23134
Vitamin Supplement,"Revital Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy",30 Capsules,Revital,VSLFUCNZG3X83CGX,LSTVSLFUCNZG3X83CGXYTZXP1,Multi Vitamin Supplements Capsules Form Suitable For: Non-vegetarian Pack of 1,IN_STOCK,214,310,INR,4.4,5632,513,216,157,491,1281,3487
Vitamin Supplement,"Purna Gummies Flowing Hair Biotin Cranberry Gummy for Adults & Kids, 30 Gummy Bears, 1 daily",30 No,Purna Gummies,VSLFZT4GJSJWZAZA,LSTVSLFZT4GJSJWZAZA6TI8AD,Special Supplements Gummies Form Suitable For: Vegetarian Pack of 1,IN_STOCK,149,499,INR,4.3,1736,558,100,58,176,288,1114
Vitamin Supplement,MUSCLEBLAZE Omega 3 Fish Oil 1000 mg,120 No,MUSCLEBLAZE,VSLFJQHFSFHGQN67,LSTVSLFJQHFSFHGQN67MQUUVF,Omega Fatty Acids/Fish Oil Supplements Capsules Form Suitable For: Non-vegetarian Pack of 1,IN_STOCK,631,1099,INR,4.3,21096,1864,828,550,1905,5389,12424
Vitamin Supplement,WOW Life Science Omega-3 1000mg Capsules with Fish oil - EPA + DHA Enriched,60 No,WOW Life Science,VSLFFY2HG4HDQWZW,LSTVSLFFY2HG4HDQWZWRMJEVO,Multi Vitamin Supplements Softgel Form Suitable For: Non-vegetarian Pack of 1,IN_STOCK,749,899,INR,4.4,17772,1658,670,420,1443,4529,10710
Vitamin Supplement,"HEALTHKART Fish oil for brain, heart and eye health, 90 softgels",90 No,HEALTHKART,VSLFPGGHQNDZGJEW,LSTVSLFPGGHQNDZGJEWJDDCEJ,Omega Fatty Acids/Fish Oil Supplements Softgel Form Suitable For: Non-vegetarian Pack of 1,IN_STOCK,449,1000,INR,4.3,33156,2575,1202,811,3198,9141,18804
Vitamin Supplement,HEALTHKART HK Vitals Fish Oil and Multivitamin for Men and Women (120 No),2 x 30 No,HEALTHKART,VSLFFYMDJEHJTDJZ,LSTVSLFFYMDJEHJTDJZ5BIB5D,Multi Vitamin Supplements Capsules Form Suitable For: Non-vegetarian Pack of 2,IN_STOCK,649,1349,INR,4.3,8579,725,352,191,802,2175,5059
Vitamin Supplement,Plix World's First Apple Cider Vinegar -60 Effervescent Tablets,4 x 15 No,Plix,VSLG4HW4X5GTRHVZ,LSTVSLG4HW4X5GTRHVZPZOGC4,Multi Vitamin Supplements Tablet Form Suitable For: Vegetarian Pack of 4,IN_STOCK,1049,2796,INR,4.2,4893,367,328,199,489,942,2935
Vitamin Supplement,MUSCLEBLAZE MB- Vite & Fish Oil 1000mg Combo Pack,2 x 60 Tablets,MUSCLEBLAZE,VSLFZKHDWDUN3QH7,LSTVSLFZKHDWDUN3QH7VMH9GP,Multi Vitamin Supplements Capsules Form Suitable For: Non-vegetarian Pack of 2,IN_STOCK,849,1348,INR,4.3,1746,131,81,51,145,379,1090
